 
****************************************
Report : constraint
        -all_violators
Design : aes_ASIC_new
Version: T-2022.03-SP2
Date   : Mon Mar 23 12:11:33 2026
****************************************


   min_delay/hold ('sys_clk' group)

                             Required        Actual
   Endpoint                 Path Delay     Path Delay        Slack
   u_aes_top/u_en/state_reg_10__90_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__91_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__92_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__93_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__94_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__95_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__96_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__97_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__98_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__99_/D     1.13     0.98 f    -0.15  (VIOLATED)
   u_aes_top/u_en/state_reg_10__100_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__101_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__102_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__103_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__104_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__105_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__106_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__107_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__108_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__109_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__110_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__111_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__112_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__113_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__114_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__115_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__116_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__117_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__118_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__119_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__120_/D     1.13     0.98 f    -0.15 (VIOLATED)
   u_aes_top/u_en/state_reg_10__121_/D     1.13     0.98 f    -0.15 (VIOLATED)
